page,to,subject
55,216,newton
60,79,couleur
72,77,yeux bleus
74,276,perception ralentie
79,50,refraction
90,81,vision
100,102,electricité statique
125,185,mecanique newtonienne
141,24,Anaxagore 
157,108,Gauss
171,132,parallaxe
172,155,Bode
174,152,Mars
175,160,lampadaires
201,166,Saturne
207,193,Giordano Bruno
217,56,Newton
233,127,Système solaire
240,303,thermodynamique
246,Tome 2,
247,Tome 2,
261,282,baillement
263,153,paréidolie
276,266,vue périphérique
300,282,empathie
304,62,chaleur
306,227,travail
308,51,Alhazen
314,241,thermodynamique
318,241,thermodynamique
320,64,zero absolu
322,26,Avogadro
324,65,Corps noir
328,195,Aristote
328,202,Giordano Bruno
328,212,Galilée
330,187,Impetus
332,93,Electromagnétisme
332,54,Newton
336,112,Maxwell
339,324,Mouvement Brownien
340,67,photons
436,51,Taille de la Lune
358,57,Newton
360,214,Galilée
361,212,Galilée
370,129,Mercure
