# Version 1.00
#
freq[Hz]	db:Trc1_S11	ang:Trc1_S11	db:Trc2_S12	ang:Trc2_S12	db:Trc3_S21	ang:Trc3_S21	db:Trc4_S22	ang:Trc4_S22	
3.500000000000000E+009	-4.182110888842503E+000	3.518877972906959E+001	-1.718046258074200E+001	9.993600313448522E+001	-1.712529674160808E+001	9.986011718697623E+001	-6.413586073982045E-001	-3.527501003505584E+001	
3.500220000000000E+009	-4.214229205756101E+000	3.442130071094247E+001	-1.730235047634585E+001	9.990142528366265E+001	-1.724709390232530E+001	9.982041707471325E+001	-6.402960258455690E-001	-3.650898581361107E+001	
3.500440000000000E+009	-4.246592171102002E+000	3.365479276109863E+001	-1.742294906575188E+001	9.989791917527279E+001	-1.736791022511711E+001	9.980955674793397E+001	-6.397186513961923E-001	-3.774813153956169E+001	
3.500660000000000E+009	-4.278996800545176E+000	3.288962580882421E+001	-1.754145599331923E+001	9.992609603274488E+001	-1.748693222550831E+001	9.983215457971157E+001	-6.391422260459750E-001	-3.899213018416205E+001	
3.500880000000000E+009	-4.311820042351656E+000	3.212255090147496E+001	-1.765806587170966E+001	9.998197156932304E+001	-1.760411654725365E+001	9.988330399983821E+001	-6.387728029031263E-001	-4.024217178391041E+001	
3.501100000000000E+009	-4.344772991933884E+000	3.135584374478683E+001	-1.777262582602984E+001	1.000737564978150E+002	-1.771902697608407E+001	9.996772252601149E+001	-6.387646359047393E-001	-4.149429305365817E+001	
3.501320000000000E+009	-4.377854070115569E+000	3.059087264520065E+001	-1.788448631815603E+001	1.001958812371464E+002	-1.783157197084009E+001	1.000862461448310E+002	-6.390019810205905E-001	-4.274873692117522E+001	
3.501540000000000E+009	-4.411038499025956E+000	2.982815830606791E+001	-1.799329026555477E+001	1.003531293671494E+002	-1.794092391425154E+001	1.002347461230229E+002	-6.394367463357555E-001	-4.400463980385827E+001	
3.501760000000000E+009	-4.444315011723664E+000	2.906758556799368E+001	-1.810048722941132E+001	1.005272027978716E+002	-1.804854555396527E+001	1.003962763763571E+002	-6.402485063699099E-001	-4.526491484067394E+001	
3.501980000000000E+009	-4.477846764669621E+000	2.830603322170077E+001	-1.820262912979944E+001	1.007454504379309E+002	-1.815150424102530E+001	1.006098801311481E+002	-6.411907433733274E-001	-4.653184626792918E+001	
3.502200000000000E+009	-4.511590699027692E+000	2.754312576255926E+001	-1.830094074121941E+001	1.009961798204113E+002	-1.825062639405681E+001	1.008533382549160E+002	-6.424064848199410E-001	-4.779932050760494E+001	
3.502420000000000E+009	-4.545407986443958E+000	2.678244633542407E+001	-1.839491894038839E+001	1.012788512550453E+002	-1.834556574019791E+001	1.011292925293480E+002	-6.439020794635157E-001	-4.907045618539337E+001	
3.502640000000000E+009	-4.579274548164078E+000	2.602403666281272E+001	-1.848449409540186E+001	1.015906240902502E+002	-1.843574052330642E+001	1.014363111164233E+002	-6.457932057960889E-001	-5.034278434246771E+001	
3.502860000000000E+009	-4.613233009658970E+000	2.526771683464945E+001	-1.856929801326591E+001	1.019335025081683E+002	-1.852129365747486E+001	1.017727466846551E+002	-6.481940737504908E-001	-5.161875379909867E+001	
