
  ZVRE, 2.05

  stimulus-start        ; stimulus-stop       ; stimulus-unit       ; nof-points; parameter-type; impedance-ohm
  3.00000000000E+05     ; 3.00000000000E+06   ; Hz                  ; 1601      ; RATIO_B2_B1   ; 50        

  conversion            ; time-domain         ; data-format         ; param-unit; smoothing     ; trace-math
  none                  ; none                ; RI                  ; none      ; none          ; none

  sweep-mode-type       ; notlinear-meas-mode 
  FUNDAMENTAL           ; none                


  freq              ;  reRATIO_B2_B ; imRATIO_B2_B  
   3.00000000000E+05; -3.46621E-07  ;-8.00446E-07  
   3.01687500000E+05; -4.91611E-07  ; 4.21655E-06  
   3.03375000000E+05; -1.69499E-06  ;-1.86532E-06  
   3.05062500000E+05; -5.29957E-07  ; 1.91615E-06  
   3.06750000000E+05;  5.27168E-07  ;-3.25803E-06  
   3.08437500000E+05; -1.38004E-06  ; 1.09942E-06  
   3.10125000000E+05;  4.26094E-06  ;-5.76316E-08  
   3.11812500000E+05;  3.35016E-07  ; 1.08892E-07  
   3.13500000000E+05; -1.33394E-06  ;-1.02048E-06  
   3.15187500000E+05;  7.07899E-07  ; 2.83323E-07  
   3.16875000000E+05; -7.91885E-07  ; 2.49081E-06  
   3.18562500000E+05; -3.76837E-06  ;-1.01161E-06  
   3.20250000000E+05; -3.71643E-07  ; 1.57114E-06  
   3.21937500000E+05;  9.39434E-07  ;-9.00272E-07  
   3.23625000000E+05; -3.97124E-07  ;-7.67259E-07  
   3.25312500000E+05;  1.69328E-06  ; 2.35943E-06  
   3.27000000000E+05;  8.41343E-07  ;-2.00379E-06  
   3.28687500000E+05;  7.53504E-07  ;-9.48586E-07  
   3.30375000000E+05; -2.01986E-06  ; 9.11104E-07  
   3.32062500000E+05;  2.14778E-06  ;-9.20451E-07  
   3.33750000000E+05;  3.25028E-08  ; 2.05918E-06  
   3.35437500000E+05;  2.76754E-07  ; 2.165E-06    
   3.37125000000E+05; -2.48701E-06  ;-2.43811E-07  
   3.38812500000E+05;  6.38009E-08  ; 2.28266E-06  
   3.40500000000E+05; -1.58115E-06  ; 1.15325E-06  
   3.42187500000E+05; -1.99728E-06  ; 1.28878E-06  
   3.43875000000E+05;  2.31724E-06  ; 1.48433E-06  
   3.45562500000E+05;  1.90995E-06  ; 2.18678E-06  
   3.47250000000E+05; -3.27674E-07  ;-9.67011E-07  
   3.48937500000E+05; -1.6994E-06   ; 3.00296E-06  
   3.50625000000E+05;  2.26361E-06  ;-1.01768E-07  
   3.52312500000E+05; -3.48862E-07  ;-1.05752E-08  
   3.54000000000E+05; -2.12401E-07  ;-9.95299E-07  
   3.55687500000E+05; -2.76923E-06  ; 2.2477E-06   
   3.57375000000E+05; -1.72708E-06  ; 5.82907E-07  
   3.59062500000E+05; -1.17295E-06  ; 1.81006E-06  
   3.60750000000E+05; -2.39465E-06  ; 5.21166E-07  
   3.62437500000E+05; -3.18936E-07  ; 2.02813E-06  
   3.64125000000E+05;  2.25878E-06  ; 1.93502E-06  
   3.65812500000E+05; -1.44056E-06  ;-2.13765E-09  
   3.67500000000E+05; -7.35689E-07  ; 1.3296E-06   
