
  ZVRE, 2.05

  stimulus-start        ; stimulus-stop       ; stimulus-unit       ; nof-points; parameter-type; impedance-ohm
  3.00000000000E+05     ; 3.00000000000E+06   ; Hz                  ; 1601      ; RATIO_B2_B1   ; 50        

  conversion            ; time-domain         ; data-format         ; param-unit; smoothing     ; trace-math
  none                  ; none                ; RI                  ; none      ; none          ; none

  sweep-mode-type       ; notlinear-meas-mode 
  FUNDAMENTAL           ; none                


  freq              ;  reRATIO_B2_B ; imRATIO_B2_B  
   3.00000000000E+05;  1.54911E-06  ; 6.85498E-06  
   3.01687500000E+05;  1.63426E-06  ;-1.4139E-06   
   3.03375000000E+05;  3.35248E-06  ;-1.31532E-07  
   3.05062500000E+05;  9.52685E-07  ;-5.04933E-07  
   3.06750000000E+05;  1.64535E-06  ;-1.24412E-06  
   3.08437500000E+05; -3.60824E-06  ; 1.79067E-06  
   3.10125000000E+05;  1.49918E-06  ;-8.87718E-07  
   3.11812500000E+05;  2.3774E-06   ; 5.01619E-06  
   3.13500000000E+05; -4.51922E-07  ; 3.02433E-06  
   3.15187500000E+05; -1.003E-06    ;-1.39011E-06  
   3.16875000000E+05; -5.04134E-06  ; 4.49113E-06  
   3.18562500000E+05;  2.94697E-07  ; 1.65386E-06  
   3.20250000000E+05; -5.57958E-07  ; 4.31558E-06  
   3.21937500000E+05;  4.15614E-06  ; 1.89812E-06  
   3.23625000000E+05;  7.90654E-07  ; 2.69572E-06  
   3.25312500000E+05;  1.12494E-07  ; 1.88146E-06  
   3.27000000000E+05;  1.06237E-06  ; 1.26424E-06  
   3.28687500000E+05;  2.67704E-07  ;-3.63969E-06  
   3.30375000000E+05;  1.63787E-06  ;-6.8471E-07   
   3.32062500000E+05; -3.06699E-08  ; 2.69547E-06  
   3.33750000000E+05;  2.32588E-06  ; 5.93671E-06  
   3.35437500000E+05;  2.35206E-06  ;-1.17819E-06  
   3.37125000000E+05; -4.45521E-06  ; 1.00142E-06  
   3.38812500000E+05;  7.75084E-07  ; 1.28782E-07  
   3.40500000000E+05; -1.80601E-07  ; 1.84548E-06  
   3.42187500000E+05;  4.79507E-08  ; 1.64562E-06  
   3.43875000000E+05; -2.08985E-06  ; 9.67684E-07  
   3.45562500000E+05;  1.07318E-07  ; 1.4957E-06   
   3.47250000000E+05;  4.343E-06    ; 2.40452E-06  
   3.48937500000E+05; -1.07474E-06  ; 7.04498E-07  
   3.50625000000E+05; -1.48947E-06  ; 5.02968E-06  
   3.52312500000E+05; -8.71294E-07  ; 1.00537E-06  
   3.54000000000E+05; -9.64123E-07  ; 6.6898E-07   
   3.55687500000E+05; -3.9084E-07   ; 2.3469E-06   
   3.57375000000E+05; -7.65532E-08  ; 3.38368E-07  
   3.59062500000E+05; -1.35915E-07  ;-7.39545E-07  
   3.60750000000E+05; -8.5849E-07   ; 3.52125E-06  
   3.62437500000E+05;  1.66021E-06  ;-2.90366E-06  
   3.64125000000E+05; -4.18769E-06  ; 9.75557E-07  
   3.65812500000E+05; -1.2013E-06   ; 1.13483E-06  
   3.67500000000E+05; -3.895E-08    ; 6.90932E-07  
   3.69187500000E+05;  3.77238E-07  ; 1.67219E-06  
   3.70875000000E+05; -1.12914E-06  ;-4.81E-06     
   3.72562500000E+05; -1.77867E-06  ; 6.60625E-07  
   3.74250000000E+05; -3.65844E-09  ; 6.0807E-07   
   3.75937500000E+05; -3.50733E-06  ; 3.06643E-06  
   3.77625000000E+05;  3.78301E-06  ;-5.81937E-07  
   3.79312500000E+05; -1.18571E-06  ; 1.44941E-06  
   3.81000000000E+05; -2.45045E-07  ;-5.06023E-07  
   3.82687500000E+05; -4.15953E-07  ;-2.02235E-06  
   3.84375000000E+05;  4.42107E-07  ; 5.0437E-07   
   3.86062500000E+05; -2.92213E-06  ; 1.58858E-06  
   3.87750000000E+05;  1.57349E-06  ; 3.78709E-06  
   3.89437500000E+05;  1.40191E-06  ; 2.54004E-06  
   3.91125000000E+05; -2.76102E-06  ; 1.56777E-06  
   3.92812500000E+05;  1.434E-06    ; 3.96256E-06  
   3.94500000000E+05; -5.42394E-07  ; 3.32902E-06  
   3.96187500000E+05;  9.01839E-08  ; 1.04099E-06  
   3.97875000000E+05; -1.98599E-06  ; 7.09046E-07  
   3.99562500000E+05;  1.2541E-08   ; 3.87152E-07  
   4.01250000000E+05;  1.64581E-06  ; 1.47364E-06  
   4.02937500000E+05; -1.27014E-06  ; 6.5514E-07   
   4.04625000000E+05;  1.78353E-06  ; 2.70056E-06  
   4.06312500000E+05; -1.42915E-06  ; 1.89526E-06  
   4.08000000000E+05;  3.67949E-06  ;-1.09015E-07  
   4.09687500000E+05; -8.39544E-07  ; 1.50385E-06  
   4.11375000000E+05; -2.76963E-06  ;-1.01977E-06  
   4.13062500000E+05;  1.76328E-06  ; 2.77128E-06  
   4.14750000000E+05;  4.56316E-07  ; 2.01162E-06  
   4.16437500000E+05;  1.09907E-06  ; 2.82352E-06  
