
  ZVRE, 2.05

  stimulus-start        ; stimulus-stop       ; stimulus-unit       ; nof-points; parameter-type; impedance-ohm
  3.00000000000E+05     ; 2.40000000000E+06   ; Hz                  ; 801       ; RATIO_B2_B1   ; 50        

  conversion            ; time-domain         ; data-format         ; param-unit; smoothing     ; trace-math
  none                  ; none                ; RI                  ; none      ; none          ; none

  sweep-mode-type       ; notlinear-meas-mode 
  FUNDAMENTAL           ; none                


  freq              ;  reRATIO_B2_B ; imRATIO_B2_B  
   3.00000000000E+05; -1.18436E-06  ; 1.20936E-05  
   3.02625000000E+05; -3.58576E-06  ; 1.17701E-05  
   3.05250000000E+05; -1.48578E-06  ; 1.22959E-05  
   3.07875000000E+05; -5.33798E-07  ; 1.11376E-05  
   3.10500000000E+05; -7.09452E-07  ; 1.11301E-05  
   3.13125000000E+05; -2.34531E-06  ; 1.04664E-05  
   3.15750000000E+05; -1.57259E-06  ; 1.10672E-05  
   3.18375000000E+05; -3.68899E-07  ; 1.03033E-05  
   3.21000000000E+05; -3.87278E-07  ; 1.1318E-05   
   3.23625000000E+05; -2.85631E-06  ; 1.08635E-05  
   3.26250000000E+05;  1.6247E-07   ; 1.1866E-05   
   3.28875000000E+05; -2.9703E-06   ; 1.32641E-05  
   3.31500000000E+05; -2.79978E-06  ; 1.30845E-05  
   3.34125000000E+05; -3.13429E-06  ; 1.30654E-05  
   3.36750000000E+05; -1.87606E-06  ; 1.26655E-05  
   3.39375000000E+05; -9.90275E-07  ; 1.25711E-05  
   3.42000000000E+05; -2.42902E-06  ; 1.034E-05    
   3.44625000000E+05; -2.57188E-06  ; 1.33519E-05  
   3.47250000000E+05; -2.8548E-06   ; 1.24193E-05  
   3.49875000000E+05; -3.62977E-06  ; 1.2877E-05   
   3.52500000000E+05; -1.81936E-06  ; 1.19209E-05  
   3.55125000000E+05; -2.13626E-06  ; 1.09108E-05  
   3.57750000000E+05; -1.43971E-06  ; 1.1812E-05   
   3.60375000000E+05; -7.96035E-07  ; 1.27833E-05  
   3.63000000000E+05; -3.09536E-06  ; 1.31139E-05  
   3.65625000000E+05; -1.97391E-06  ; 1.31178E-05  
   3.68250000000E+05; -2.84571E-06  ; 1.23496E-05  
   3.70875000000E+05; -2.1912E-07   ; 1.46092E-05  
   3.73500000000E+05; -1.74015E-06  ; 1.2611E-05   
   3.76125000000E+05; -1.92202E-06  ; 1.43768E-05  
   3.78750000000E+05; -1.54417E-06  ; 1.44105E-05  
   3.81375000000E+05; -1.28452E-06  ; 1.35589E-05  
   3.84000000000E+05; -2.49753E-06  ; 1.4374E-05   
   3.86625000000E+05; -2.36317E-06  ; 1.39651E-05  
   3.89250000000E+05; -1.30673E-06  ; 1.36597E-05  
   3.91875000000E+05; -1.76002E-06  ; 1.30719E-05  
   3.94500000000E+05; -1.92967E-06  ; 1.53448E-05  
   3.97125000000E+05; -2.64222E-06  ; 1.42476E-05  
   3.99750000000E+05; -2.15452E-06  ; 1.4051E-05   
   4.02375000000E+05; -2.76307E-06  ; 1.36473E-05  
   4.05000000000E+05; -2.54414E-06  ; 1.56626E-05  
   4.07625000000E+05; -3.25202E-06  ; 1.5163E-05   
   4.10250000000E+05; -4.07236E-06  ; 1.66194E-05  
   4.12875000000E+05; -2.41201E-06  ; 1.54898E-05  
   4.15500000000E+05; -3.58353E-06  ; 1.36196E-05  
   4.18125000000E+05; -2.70008E-06  ; 1.35597E-05  
   4.20750000000E+05; -2.8601E-06   ; 1.40586E-05  
   4.23375000000E+05; -4.05489E-06  ; 1.33832E-05  
   4.26000000000E+05; -3.14381E-06  ; 1.44554E-05  
   4.28625000000E+05; -2.03285E-06  ; 1.58945E-05  
   4.31250000000E+05; -3.49319E-06  ; 1.58695E-05  
   4.33875000000E+05; -1.65405E-06  ; 1.53525E-05  
   4.36500000000E+05; -3.10213E-06  ; 1.66417E-05  
   4.39125000000E+05; -3.13018E-06  ; 1.57667E-05  
   4.41750000000E+05; -3.28579E-06  ; 1.63138E-05  
   4.44375000000E+05; -3.52983E-06  ; 1.53773E-05  
   4.47000000000E+05; -4.06714E-06  ; 1.60908E-05  
   4.49625000000E+05; -3.33111E-06  ; 1.76793E-05  
   4.52250000000E+05; -3.14219E-06  ; 1.79192E-05  
   4.54875000000E+05; -2.65192E-06  ; 1.68774E-05  
   4.57500000000E+05; -2.65686E-06  ; 1.53745E-05  
   4.60125000000E+05; -4.15617E-06  ; 1.65777E-05  
   4.62750000000E+05; -2.40927E-06  ; 1.44158E-05  
   4.65375000000E+05; -2.85808E-06  ; 1.64043E-05  
   4.68000000000E+05; -3.69021E-06  ; 1.6602E-05   
   4.70625000000E+05; -4.18361E-06  ; 1.63114E-05  
   4.73250000000E+05; -2.98432E-06  ; 1.79392E-05  
   4.75875000000E+05; -3.47337E-06  ; 1.77261E-05  
   4.78500000000E+05; -3.39991E-06  ; 1.7422E-05   
   4.81125000000E+05; -4.72049E-06  ; 1.73839E-05  
   4.83750000000E+05; -2.80185E-06  ; 1.73683E-05  
   4.86375000000E+05; -2.43062E-06  ; 1.8097E-05   
   4.89000000000E+05; -4.39864E-06  ; 1.78328E-05  
   4.91625000000E+05; -2.74155E-06  ; 1.69155E-05  
   4.94250000000E+05; -2.77317E-06  ; 1.79305E-05  
   4.96875000000E+05; -1.78474E-06  ; 1.89441E-05  
   4.99500000000E+05; -2.35137E-06  ; 1.73047E-05  
   5.02125000000E+05; -3.55299E-06  ; 1.80004E-05  
   5.04750000000E+05; -4.46412E-06  ; 1.90116E-05  
   5.07375000000E+05; -3.8871E-06   ; 1.82932E-05  
   5.10000000000E+05; -3.27645E-06  ; 1.7566E-05   
   5.12625000000E+05; -3.29396E-06  ; 1.8641E-05   
   5.15250000000E+05; -3.56227E-06  ; 1.91485E-05  
   5.17875000000E+05; -3.20382E-06  ; 1.75901E-05  
   5.20500000000E+05; -2.92836E-06  ; 1.95885E-05  
   5.23125000000E+05; -3.46671E-06  ; 1.92248E-05  
   5.25750000000E+05; -3.07369E-06  ; 1.98779E-05  
   5.28375000000E+05; -4.05642E-06  ; 1.7698E-05   
   5.31000000000E+05; -3.8432E-06   ; 2.00357E-05  
   5.33625000000E+05; -3.88188E-06  ; 1.88356E-05  
   5.36250000000E+05; -3.3354E-06   ; 2.00132E-05  
   5.38875000000E+05; -4.3659E-06   ; 1.8911E-05   
   5.41500000000E+05; -4.51159E-06  ; 2.00417E-05  
   5.44125000000E+05; -4.04471E-06  ; 2.05574E-05  
   5.46750000000E+05; -2.85782E-06  ; 1.86893E-05  
   5.49375000000E+05; -3.08643E-06  ; 1.89807E-05  
   5.52000000000E+05; -3.49677E-06  ; 2.02146E-05  
   5.54625000000E+05; -3.8603E-06   ; 2.1062E-05   
   5.57250000000E+05; -2.34038E-06  ; 2.14682E-05  
   5.59875000000E+05; -2.96309E-06  ; 1.94682E-05  
   5.62500000000E+05; -3.98332E-06  ; 2.04506E-05  
   5.65125000000E+05; -4.92856E-06  ; 2.00131E-05  
   5.67750000000E+05; -2.07267E-06  ; 2.05131E-05  
   5.70375000000E+05; -3.68269E-06  ; 2.03023E-05  
   5.73000000000E+05; -3.2537E-06   ; 2.07271E-05  
   5.75625000000E+05; -3.05747E-06  ; 1.95461E-05  
   5.78250000000E+05; -3.16694E-06  ; 2.11903E-05  
   5.80875000000E+05; -3.94757E-06  ; 2.14154E-05  
   5.83500000000E+05; -3.2118E-06   ; 2.13277E-05  
   5.86125000000E+05; -3.93018E-06  ; 2.14193E-05  
   5.88750000000E+05; -3.65095E-06  ; 2.18094E-05  
   5.91375000000E+05; -3.28083E-06  ; 2.17216E-05  
   5.94000000000E+05; -4.30828E-06  ; 2.10538E-05  
   5.96625000000E+05; -4.26836E-06  ; 2.18395E-05  
   5.99250000000E+05; -5.06044E-06  ; 2.18527E-05  
   6.01875000000E+05; -3.60335E-06  ; 2.11601E-05  
   6.04500000000E+05; -4.40332E-06  ; 2.25006E-05  
   6.07125000000E+05; -3.82489E-06  ; 2.24767E-05  
   6.09750000000E+05; -4.28035E-06  ; 2.28583E-05  
   6.12375000000E+05; -3.28589E-06  ; 2.19517E-05  
   6.15000000000E+05; -2.96817E-06  ; 2.20194E-05  
   6.17625000000E+05; -3.09513E-06  ; 2.19588E-05  
   6.20250000000E+05; -4.5021E-06   ; 2.13623E-05  
   6.22875000000E+05; -3.67649E-06  ; 2.27235E-05  
   6.25500000000E+05; -3.23529E-06  ; 2.15328E-05  
   6.28125000000E+05; -3.8911E-06   ; 2.32307E-05  
   6.30750000000E+05; -3.6785E-06   ; 2.30833E-05  
   6.33375000000E+05; -4.30612E-06  ; 2.33977E-05  
   6.36000000000E+05; -4.26295E-06  ; 2.23761E-05  
   6.38625000000E+05; -3.34383E-06  ; 2.35413E-05  
   6.41250000000E+05; -4.50237E-06  ; 2.23193E-05  
   6.43875000000E+05; -4.38427E-06  ; 2.2073E-05   
   6.46500000000E+05; -3.4894E-06   ; 2.46867E-05  
   6.49125000000E+05; -4.03688E-06  ; 2.26159E-05  
   6.51750000000E+05; -3.89591E-06  ; 2.38694E-05  
   6.54375000000E+05; -4.0707E-06   ; 2.3619E-05   
   6.57000000000E+05; -2.92793E-06  ; 2.31349E-05  
   6.59625000000E+05; -3.70442E-06  ; 2.3972E-05   
   6.62250000000E+05; -3.83596E-06  ; 2.34069E-05  
   6.64875000000E+05; -3.77953E-06  ; 2.36804E-05  
   6.67500000000E+05; -3.99051E-06  ; 2.4954E-05   
   6.70125000000E+05; -4.28933E-06  ; 2.43405E-05  
   6.72750000000E+05; -3.96123E-06  ; 2.4784E-05   
   6.75375000000E+05; -3.51963E-06  ; 2.55491E-05  
